,Players,Values
0,Milan Borjan,800000
1,Martin Trnovsky,300000
2,Adam Hrdina,150000
3,Kenan Bajric,800000
4,Kevin Wimmer,500000
5,Guram Kashia,300000
6,Richard Krizan,200000
7,Lucas Lovat,600000
8,Matus Vojtko,250000
9,César Blackman,550000
10,Lukas Pauschek,400000
11,Kyriakos Savvidis,650000
12,Jaba Kankava,300000
13,Uche Agbo,250000
14,Juraj Kucka,900000
15,Filip Lichy,325000
16,Jaromir Zmrhal,900000
17,Marko Tolic,1300000
18,Vladimir Weiss,400000
19,Nino Marcelli,350000
20,Aleksandar Cavric,2000000
21,Tigran Barseghyan,1400000
22,Sharani Zuberu,150000
23,David Strelec,1200000
24,Lubomir Belko,550000
25,Samuel Belanik,125000
26,Jakub Badzgon,75000
27,Tomas Nemcik,350000
28,Andrej Stojcevski,325000
29,Patrik Leitner,300000
30,Jan Minarik,300000
31,James Ndjeungoue,175000
32,Tomas Hubocan,125000
33,Kristian Bari,375000
34,Dominik Javorcek,225000
35,Martin Gomola,125000
36,Samuel Gidi,400000
37,Mario Sauer,350000
38,Patrik Myslovic,325000
39,Xavier Adang,175000
40,David Duris,750000
41,Henry Addo,250000
42,Patrik Ilko,250000
43,Loic Essomba,200000
44,Timotej Jambor,450000
45,Yves Erick Bile,125000
46,Dominik Takac,500000
47,Martin Vantruba,225000
48,Dobrivoj Rusov,125000
49,Michal Sulla,100000
50,Lubos Kamenar,25000
51,Sebastian Kosa,650000
52,Andrej Djuric,500000
53,Lukas Stetina,300000
54,Nicolas Gorosito,175000
55,Marek Ujlaky,100000
56,Martin Mikovic,200000
57,Kazeem Bolaji,175000
58,Miha Kompan Breznik,100000
59,Kristian Kostrna,450000
60,Martin Sulek,300000
61,Adrian Zeljkovic,750000
62,Roman Prochazka,300000
63,Filip Bainovic,375000
64,Martin Bukata,350000
65,Jakub Paur,200000
66,Samuel Benovic,75000
67,Erik Daniel,425000
68,Jan Bernat,475000
69,Samuel Stefanik,250000
70,Azeez Oseni,250000
71,Tomislav Krizmanic,150000
72,Kelvin Ofori,550000
73,Philip Azango,400000
74,Marco Djuricin,300000
75,Matus Hruska,250000
76,Michal Trnovsky,125000
77,Julius Nota,50000
78,Jakub Uhrincat,300000
79,Marian Pisoja,200000
80,Lubomir Willweber,175000
81,Boris Godal,125000
82,Lukas Migala,100000
83,Timotej Zahumensky,225000
84,Tomas Giraldo,100000
85,Simon Micuda,125000
86,Jakub Povazanec,325000
87,David Richtarech,200000
88,Branislav Luptak,150000
89,Matus Körös,50000
90,Oliver Klimpl,25000
91,Marek Hlinka,200000
92,Gabriel Demian,25000
93,Martin Rymarenko,425000
94,Tibor Slebodnik,175000
95,Adam Hanes,125000
96,Joao Guimaraes,50000
97,Adrian Kacerik,150000
98,Robert Polievka,1000000
99,Enzo Arévalo,175000
100,David Depetris,100000
101,Samuel Svetlik,25000
102,Aleksandar Popovic,2000000
103,Samuel Petras,425000
104,Dániel Veszelinov,200000
105,Erik Gyurákovics,100000
106,Spyros Risvanis,550000
107,Mateus Brunetti,475000
108,Filip Kasa,425000
109,Márk Csinger,375000
110,Norbert Urblík,25000
111,Yhoan Andzouana,550000
112,Alex Mendez,350000
113,Alex Pinto,600000
114,Konrad Gruszkowski,200000
115,Milan Dimun,500000
116,Christian Herc,650000
117,Miroslav Kacer,600000
118,Andrés Romero,450000
119,Dominik Veselovsky,350000
120,Milán Vitális,250000
121,Mame Wade,10000
122,Ales Cermak,475000
123,Ammar Ramadan,375000
124,Mate Szolgai,150000
